,PID,PX_COH,PY_COH,NID,NX_COH,NY_COH,COHX,COHY,REPX,REPY,CHANGEX,CHANGEY,NEXTX,NEXTY
14,3,0.150156076,0.499552648,5,-1.305098328,-0.712227565,-0.21828816927399214,-0.1817670391727729,4.083601068704168,3.4003861862501976,-4.301889237978161,-3.5821532254229704,-4.151733161978161,-3.0826005774229706
12,3,0.150156076,0.499552648,6,1.717419706,1.6307586109999999,0.2350895538416192,0.169680901192513,-2.722090938539324,-1.964727211531062,2.9571804923809433,2.134408112723575,3.1073365683809433,2.633960760723575
11,3,0.150156076,0.499552648,7,-0.13209023,2.53343183,-0.04233694758231908,0.3050818894228646,0.0,0.0,-0.04233694758231908,0.3050818894228646,0.10781912841768092,0.8046345374228646
15,4,1.984752796,-2.074944011,1,2.582878465,-0.217421571,0.08971885391510677,0.2786283770716965,-0.7440895233043517,-2.310823725752416,0.8338083772194586,2.5894521028241124,2.8185611732194586,0.5145080918241125
16,4,1.984752796,-2.074944011,8,0.158337935,-2.684129153,-0.2739622400362809,-0.09137777493102643,3.5416610947014124,1.1812909339284865,-3.815623334737693,-1.272668708859513,-1.8308705387376931,-3.347612719859513
17,5,-1.305098328,-0.712227565,0,-3.2488064569999997,-0.265593834,-0.2915562309354033,0.06699506231214447,0.2747010298195937,-0.06312200068895599,-0.5662572607549969,0.13011706300110046,-1.8713555887549969,-0.5821105019988995
18,5,-1.305098328,-0.712227565,2,-1.75362956,1.2471996490000001,-0.06727968747345449,0.2939140937790963,0.0,0.0,-0.06727968747345449,0.2939140937790963,-1.3723780154734544,-0.4183134712209037
19,5,-1.305098328,-0.712227565,3,0.150156076,0.499552648,0.21828816927399214,0.1817670391727729,-4.083601068704168,-3.4003861862501976,4.301889237978161,3.5821532254229704,2.996790909978161,2.8699256604229704
20,5,-1.305098328,-0.712227565,8,0.158337935,-2.684129153,0.21951544817275986,-0.2957852499534494,0.0,0.0,0.21951544817275986,-0.2957852499534494,-1.08558287982724,-1.0080128149534493
21,5,-1.305098328,-0.712227565,9,-1.867094715,-2.519082666,-0.0842994613997595,-0.27102827591969564,1.6002678628114126,5.144965728911651,-1.684567324211172,-5.415994004831346,-2.9896656522111718,-6.1282215698313465
22,6,1.717419706,1.6307586109999999,1,2.582878465,-0.217421571,0.12981881900853615,-0.2772270383160124,0.0,0.0,0.12981881900853615,-0.2772270383160124,1.8472385250085361,1.3535315726839874
23,6,1.717419706,1.6307586109999999,3,0.150156076,0.499552648,-0.2350895538416192,-0.169680901192513,2.722090938539324,1.964727211531062,-2.9571804923809433,-2.134408112723575,-1.2397607863809432,-0.5036495017235751
24,6,1.717419706,1.6307586109999999,7,-0.13209023,2.53343183,-0.2774265014239383,0.13540098823035165,0.0,0.0,-0.2774265014239383,0.13540098823035165,1.4399932045760617,1.7661595992303516
25,7,-0.13209023,2.53343183,2,-1.75362956,1.2471996490000001,-0.2432309091651276,-0.19293483481654125,0.0,0.0,-0.2432309091651276,-0.19293483481654125,-0.3753211391651276,2.3404969951834587
26,7,-0.13209023,2.53343183,3,0.150156076,0.499552648,0.04233694758231908,-0.3050818894228646,0.0,0.0,0.04233694758231908,-0.3050818894228646,-0.08975328241768092,2.2283499405771354
27,7,-0.13209023,2.53343183,6,1.717419706,1.6307586109999999,0.2774265014239383,-0.13540098823035165,0.0,0.0,0.2774265014239383,-0.13540098823035165,0.14533627142393832,2.3980308417696485
28,8,0.158337935,-2.684129153,4,1.984752796,-2.074944011,0.2739622400362809,0.09137777493102643,-3.5416610947014124,-1.1812909339284865,3.815623334737693,1.272668708859513,3.973961269737693,-1.4114604441404872
29,8,0.158337935,-2.684129153,5,-1.305098328,-0.712227565,-0.21951544817275986,0.2957852499534494,0.0,0.0,-0.21951544817275986,0.2957852499534494,-0.06117751317275985,-2.3883439030465508
30,8,0.158337935,-2.684129153,9,-1.867094715,-2.519082666,-0.3038149095725193,0.024756974033753744,0.0,0.0,-0.3038149095725193,0.024756974033753744,-0.14547697457251926,-2.6593721789662466
31,9,-1.867094715,-2.519082666,0,-3.2488064569999997,-0.265593834,-0.2072567695356438,0.3380233382318401,0.0,0.0,-0.2072567695356438,0.3380233382318401,-2.0743514845356437,-2.18105932776816
32,9,-1.867094715,-2.519082666,5,-1.305098328,-0.712227565,0.0842994613997595,0.27102827591969564,-1.6002678628114126,-5.144965728911651,1.684567324211172,5.415994004831346,-0.18252739078882785,2.8969113388313463
33,9,-1.867094715,-2.519082666,8,0.158337935,-2.684129153,0.3038149095725193,-0.024756974033753744,0.0,0.0,0.3038149095725193,-0.024756974033753744,-1.5632798054274806,-2.5438396400337537
