STEP,PID,NID,X,Y,Z,RANGE,REPULSE,SIZE,MASS,PERIM,REPX,REPY,REPZ,MAG
0,0,2,-14.400005340576172,8.999996185302734,0.0,30.0,20.0,10.0,1.0,true,-188.17688779466837,-279.7223417862425,0.0,337.12776449658764
0,0,5,-5.400009155273438,-10.200004577636719,0.0,30.0,20.0,10.0,1.0,true,-74.42728812868351,37.21368734447562,0.0,83.212257173823
0,0,9,-12.000007629394531,-16.599998474121094,0.0,30.0,20.0,10.0,1.0,true,-67.32222689157881,100.29642830806684,0.0,120.79592611092647
0,1,3,0.0,0.0,0.0,30.0,20.0,10.0,1.0,true,216.04608981484833,-36.47536946619104,0.0,219.1035497247378
0,1,6,11.799983978271484,6.799993515014648,0.0,30.0,20.0,10.0,1.0,true,177.64762946558287,-463.85670566130807,0.0,496.7109054990663
0,1,4,17.59998321533203,-11.000003814697266,0.0,30.0,20.0,10.0,1.0,true,-143.35895208718975,547.3723521765738,0.0,565.8341462574102
0,2,7,2.199993133544922,16.399993896484375,0.0,30.0,20.0,10.0,1.0,true,-83.35730171552981,-37.15927100034614,0.0,91.26473125239035
0,2,3,0.0,0.0,0.0,30.0,20.0,10.0,1.0,true,-127.99822628195636,79.99882784883957,0.0,150.94157276414995
0,2,0,-21.800003051757812,-1.9999980926513672,0.0,30.0,20.0,10.0,1.0,true,188.17688779466837,279.7223417862425,0.0,337.12776449658764
0,3,2,-14.400005340576172,8.999996185302734,0.0,30.0,20.0,10.0,1.0,true,127.99822628195636,-79.99882784883957,0.0,150.94157276414995
0,3,7,2.199993133544922,16.399993896484375,0.0,30.0,20.0,10.0,1.0,true,-22.95537755233987,-171.12237579726116,0.0,172.6551964380729
0,3,6,11.799983978271484,6.799993515014648,0.0,30.0,20.0,10.0,1.0,true,-276.43067876756373,-159.29909959469978,0.0,319.0456445331578
0,3,1,15.39999008178711,-2.6000022888183594,0.0,30.0,20.0,10.0,1.0,true,-216.04608981484833,36.47536946619104,0.0,219.1035497247378
0,3,8,1.7999839782714844,-18.600006103515625,0.0,30.0,20.0,10.0,1.0,true,-6.32411520888541,65.34979361180912,0.0,65.65508326307494
0,3,5,-5.400009155273438,-10.200004577636719,0.0,30.0,20.0,10.0,1.0,true,197.8877182473142,373.7874462693355,0.0,422.9380616847812
0,4,6,11.799983978271484,6.799993515014648,0.0,30.0,20.0,10.0,1.0,true,19.810715123425883,-60.79840046244181,0.0,63.944584856678674
0,4,1,15.39999008178711,-2.6000022888183594,0.0,30.0,20.0,10.0,1.0,true,143.35895208718975,-547.3723521765738,0.0,565.8341462574102
0,4,8,1.7999839782714844,-18.600006103515625,0.0,30.0,20.0,10.0,1.0,true,111.16672071757824,53.47261852470863,0.0,123.35866701204684
0,5,0,-21.800003051757812,-1.9999980926513672,0.0,30.0,20.0,10.0,1.0,true,74.42728812868351,-37.21368734447562,0.0,83.212257173823
0,5,3,0.0,0.0,0.0,30.0,20.0,10.0,1.0,false,-197.8877182473142,-373.7874462693355,0.0,422.9380616847812
0,5,8,1.7999839782714844,-18.600006103515625,0.0,30.0,20.0,10.0,1.0,true,-290.79129084700946,339.25689115546936,0.0,446.8274980671445
0,5,9,-12.000007629394531,-16.599998474121094,0.0,30.0,20.0,10.0,1.0,true,387.9007211019966,376.1458820375354,0.0,540.3264698358247
0,6,7,2.199993133544922,16.399993896484375,0.0,30.0,20.0,10.0,1.0,true,227.10688772623405,-227.10711333687206,0.0,321.1778002616357
0,6,1,15.39999008178711,-2.6000022888183594,0.0,30.0,20.0,10.0,1.0,true,-177.64762946558287,463.85670566130807,0.0,496.7109054990663
0,6,4,17.59998321533203,-11.000003814697266,0.0,30.0,20.0,10.0,1.0,true,-19.810715123425883,60.79840046244181,0.0,63.944584856678674
0,6,3,0.0,0.0,0.0,30.0,20.0,10.0,1.0,false,276.43067876756373,159.29909959469978,0.0,319.0456445331578
0,7,6,11.799983978271484,6.799993515014648,0.0,30.0,20.0,10.0,1.0,true,-227.10688772623405,227.10711333687206,0.0,321.1778002616357
0,7,3,0.0,0.0,0.0,30.0,20.0,10.0,1.0,false,22.95537755233987,171.12237579726116,0.0,172.6551964380729
0,7,2,-14.400005340576172,8.999996185302734,0.0,30.0,20.0,10.0,1.0,true,83.35730171552981,37.15927100034614,0.0,91.26473125239035
0,8,9,-12.000007629394531,-16.599998474121094,0.0,30.0,20.0,10.0,1.0,true,299.66092857139176,-43.42931216286417,0.0,302.79164002199315
0,8,5,-5.400009155273438,-10.200004577636719,0.0,30.0,20.0,10.0,1.0,false,290.79129084700946,-339.25689115546936,0.0,446.8274980671445
0,8,3,0.0,0.0,0.0,30.0,20.0,10.0,1.0,false,6.32411520888541,-65.34979361180912,0.0,65.65508326307494
0,8,4,17.59998321533203,-11.000003814697266,0.0,30.0,20.0,10.0,1.0,true,-111.16672071757824,-53.47261852470863,0.0,123.35866701204684
0,9,0,-21.800003051757812,-1.9999980926513672,0.0,30.0,20.0,10.0,1.0,true,67.32222689157881,-100.29642830806684,0.0,120.79592611092647
0,9,5,-5.400009155273438,-10.200004577636719,0.0,30.0,20.0,10.0,1.0,false,-387.9007211019966,-376.1458820375354,0.0,540.3264698358247
0,9,8,1.7999839782714844,-18.600006103515625,0.0,30.0,20.0,10.0,1.0,true,-299.66092857139176,43.42931216286417,0.0,302.79164002199315
1,0,2,-14.42917455575349,9.499144624483426,0.0,30.0,20.0,10.0,1.0,true,-164.56149213536898,-246.06022665781282,0.0,296.01709382519334
