STEP,ID,X,Y,PERIM,CX,CY,CMAG,RX,RY,RMAG,IX,IY,IMAG,DX,DY,DMAG,CHANGEX,CHANGEY,CHANGEMAG
0,0,-21.800003051757812,-1.9999980926513672,true,2.3699994075298036,-0.7920007066726953,2.4988321894560404,-109.97546760497688,-47.40407537790001,119.75704504273202,-107.60546819744708,-48.1960760845727,117.90588847017656,0.0,0.0,0.0,-107.60546819744708,-48.1960760845727,117.90588847017656
0,1,15.39999008178711,-2.6000022888183594,true,-1.6100001974900617,-0.025000334779434752,1.6101942903442186,83.44492239774715,15.680092349691563,84.90536125628876,81.83492220025708,15.655092014912128,83.3188837990374,0.0,0.0,0.0,81.83492220025708,15.655092014912128,83.3188837990374
0,2,-14.400005340576172,8.999996185302734,true,1.5299997937679184,-1.4899998303254354,2.135649517898407,-7.726213400939268,107.52063287824531,107.79787042449057,-6.19621360717135,106.03063304791988,106.21152577572896,0.0,0.0,0.0,-6.19621360717135,106.03063304791988,106.21152577572896
0,3,0.0,0.0,false,-0.08000151634222322,-0.4800005149841506,0.4866217596882663,-32.64505280239447,10.865384351089185,34.40575605284698,-32.72505431873669,10.385383836105035,34.33344400999554,0.0,0.0,0.0,-32.72505431873669,10.385383836105035,34.33344400999554
0,4,17.59998321533203,-11.000003814697266,true,-1.9319990925788488,0.9120000247955318,2.1364373473033433,91.44546264273129,-184.89937803810233,206.27664103533448,89.51346355015244,-183.9873780133068,204.60697794785963,0.0,0.0,0.0,89.51346355015244,-183.9873780133068,204.60697794785963
0,5,-5.400009155273438,-10.200004577636719,false,0.8200000452995305,1.2200003155072636,1.4699662731263785,-6.587749965910888,76.10040989479842,76.38501708954244,-5.767749920611357,77.32041021030568,77.53523569472563,0.0,0.0,0.0,-5.767749920611357,77.32041021030568,77.53523569472563
0,6,11.799983978271484,6.799993515014648,true,-1.401427597148037,-1.3842853687490577,1.9698338234939605,76.51980547619726,114.2117730953944,137.4758514929401,75.11837787904922,112.82748772664534,135.5463488327367,0.0,0.0,0.0,75.11837787904922,112.82748772664534,135.5463488327367
0,7,2.199993133544922,16.399993896484375,true,-0.10800018739701049,-2.36999969363211,2.3724591858015356,-40.26473615278812,145.12958671149315,150.6115729832952,-40.37273634018513,142.75958701786104,148.35854382240458,0.0,0.0,0.0,-40.37273634018513,142.75958701786104,148.35854382240458
0,8,1.7999839782714844,-18.600006103515625,true,-0.1499989432947554,2.0271435589449993,2.0326855860072754,121.40240347742709,-125.37715386371282,174.52213120707964,121.25240453413232,-123.35001030476782,172.96638588897903,0.0,0.0,0.0,121.25240453413232,-123.35001030476782,172.96638588897903
0,9,-12.000007629394531,-16.599998474121094,true,0.6060001614093835,1.8359994664191959,1.9334244842557908,-206.7464742606032,-144.33766606091268,252.14572465759122,-206.14047409919382,-142.50166659449349,250.60051884233715,0.0,0.0,0.0,-206.14047409919382,-142.50166659449349,250.60051884233715
1,0,-22.256322372173564,-2.2043817643717096,true,2.42033555942002,-0.7460997493335754,2.532723643856283,-100.57019352746819,-39.08545536705945,107.8982698999516,-98.14985796804817,-39.83155511639303,105.924253134673,0.0,0.0,0.0,-98.14985796804817,-39.83155511639303,105.924253134673
1,1,15.891084775354765,-2.5060554453361426,true,-1.6787515984959367,-0.020567378642854333,1.6788775853280373,76.29317054949277,19.389861811267167,78.71857857935461,74.61441895099684,19.36929443262431,77.08748979057864,0.0,0.0,0.0,74.61441895099684,19.36929443262431,77.08748979057864
1,2,-14.429174557610434,9.49914462437491,true,1.503366335971563,-1.5384101193430604,2.151003494983142,-18.893035153216278,98.61309286536631,100.40661761942798,-17.389668817244715,97.07468274602326,98.61995037422457,0.0,0.0,0.0,-17.389668817244715,97.07468274602326,98.61995037422457
1,3,-0.47657693065154694,0.151242972138646,false,-0.004058268391825375,-0.49111783526490804,0.4911346023827169,-17.603837132111405,14.107840046293035,22.559393443656543,-17.60789540050323,13.616722211028126,22.258775891934615,0.0,0.0,0.0,-17.60789540050323,13.616722211028126,22.258775891934615
1,4,17.8187281138462,-11.449615510302047,true,-1.9466630246452663,1.0035446081332329,2.1901138582353066,79.88646885986668,-165.38295178445637,183.66646032370275,77.93980583522142,-164.37940717632313,181.9208697133769,0.0,0.0,0.0,77.93980583522142,-164.37940717632313,181.9208697133769
1,5,-5.437203535669836,-9.701389911268482,false,0.822712865297488,1.150987710554356,1.41478944319399,-8.993848580072793,59.01468685939551,59.696085109442365,-8.171135714775305,60.165674569949864,60.718002728403285,0.0,0.0,0.0,-8.171135714775305,60.165674569949864,60.718002728403285
1,6,12.077078786073354,7.216188751580164,true,-1.4348201860913654,-1.4270453842480284,2.0236520192757608,70.30313491949647,98.32255701848246,120.87123726578486,68.8683147334051,96.89551163423442,118.87634310105355,0.0,0.0,0.0,68.8683147334051,96.89551163423442,118.87634310105355
1,7,2.0639283826000794,16.881124222904255,true,-0.08083300447713775,-2.39239479875619,2.3937599812279577,-35.883388244673085,134.27939033504805,138.99126670647382,-35.96422124915022,131.88699553629186,136.70261446529724,0.0,0.0,0.0,-35.96422124915022,131.88699553629186,136.70261446529724
1,8,2.15049256439657,-18.956578310092603,true,-0.21102771711073487,2.085379763077038,2.0960299267043427,100.74596689797339,-109.96876115814477,149.14046492104228,100.53493918086265,-107.88338139506773,147.4655823483344,0.0,0.0,0.0,100.53493918086265,-107.88338139506773,147.4655823483344
