STEP,ID,X,Y,PERIM,CX,CY,CMAG,RX,RY,RMAG,IX,IY,IMAG,DX,DY,DMAG,CHANGEX,CHANGEY,CHANGEMAG
0,0,-2.1800003051757812,-0.19999980926513672,true,0.23699994075298036,-0.07920007066726953,0.24988321894560403,-10.99754676049769,-4.740407537790007,11.975704504273205,-10.76054681974471,-4.819607608457276,11.790588847017661,0.0,0.0,0.0,-10.76054681974471,-4.819607608457276,11.790588847017661
0,1,1.539999008178711,-0.26000022888183594,true,-0.16100001974900616,-0.002500033477943475,0.16101942903442185,8.344492239774711,1.5680092349691581,8.490536125628873,8.183492220025705,1.5655092014912146,8.331888379903736,0.0,0.0,0.0,8.183492220025705,1.5655092014912146,8.331888379903736
0,2,-1.4400005340576172,0.8999996185302734,true,0.15299997937679186,-0.14899998303254355,0.21356495178984075,-0.7726213400939296,10.752063287824535,10.779787042449062,-0.6196213607171377,10.603063304791991,10.621152577572898,0.0,0.0,0.0,-0.6196213607171377,10.603063304791991,10.621152577572898
0,3,0.0,0.0,false,-0.008000151634222321,-0.048000051498415054,0.048662175968826625,-3.2645052802394416,1.0865384351089233,3.4405756052846947,-3.272505431873664,1.0385383836105082,3.433344400999551,0.0,0.0,0.0,-3.272505431873664,1.0385383836105082,3.433344400999551
0,4,1.7599983215332031,-1.1000003814697266,true,-0.19319990925788488,0.09120000247955318,0.21364373473033432,9.14454626427313,-18.489937803810236,20.62766410353345,8.951346355015245,-18.398737801330682,20.46069779478597,0.0,0.0,0.0,8.951346355015245,-18.398737801330682,20.46069779478597
0,5,-0.5400009155273438,-1.0200004577636719,false,0.08200000452995305,0.12200003155072636,0.14699662731263785,-0.6587749965910952,7.610040989479836,7.63850170895424,-0.5767749920611421,7.732041021030563,7.753523569472558,0.0,0.0,0.0,-0.5767749920611421,7.732041021030563,7.753523569472558
0,6,1.1799983978271484,0.6799993515014648,true,-0.1401427597148037,-0.13842853687490578,0.19698338234939605,7.651980547619725,11.421177309539438,13.747585149294009,7.511837787904921,11.282748772664531,13.554634883273664,0.0,0.0,0.0,7.511837787904921,11.282748772664531,13.554634883273664
0,7,0.2199993133544922,1.6399993896484375,true,-0.010800018739701045,-0.236999969363211,0.23724591858015354,-4.026473615278813,14.512958671149308,15.061157298329512,-4.037273634018514,14.275958701786097,14.835854382240452,0.0,0.0,0.0,-4.037273634018514,14.275958701786097,14.835854382240452
0,8,0.17999839782714844,-1.8600006103515625,true,-0.01499989432947554,0.20271435589449993,0.20326855860072757,12.140240347742711,-12.537715386371284,17.452213120707967,12.125240453413236,-12.335001030476784,17.296638588897906,0.0,0.0,0.0,12.125240453413236,-12.335001030476784,17.296638588897906
0,9,-1.2000007629394531,-1.6599998474121094,true,0.06060001614093835,0.1835999466419196,0.19334244842557907,-20.674647426060314,-14.43376660609126,25.21457246575911,-20.614047409919376,-14.25016665944934,25.060051884233705,0.0,0.0,0.0,-20.614047409919376,-14.25016665944934,25.060051884233705
1,0,-2.225632236726267,-0.22043817753360617,true,0.24203355588186365,-0.07460997491915529,0.25327236432397476,-10.057019355897623,-3.908545503162573,10.7898269807811,-9.814985800015759,-3.9831554780817284,10.592425303823646,0.0,0.0,0.0,-9.814985800015759,-3.9831554780817284,10.592425303823646
1,1,1.5891084777145992,-0.25060554546995517,true,-0.16787515996838476,-0.0020567378539660653,0.1678877586514595,7.629317050862689,1.93898621906776,7.871857863320376,7.461441890894304,1.936929481213794,7.7087489845232025,0.0,0.0,0.0,7.461441890894304,1.936929481213794,7.7087489845232025
1,2,-1.4429174539666667,0.9499144625423506,true,0.15033663330474908,-0.15384101209701914,0.21510034941032005,-1.889303566058184,9.861309257398714,10.040661742872217,-1.738966932753435,9.707468245301696,9.86199501757888,0.0,0.0,0.0,-1.738966932753435,9.707468245301696,9.86199501757888
1,3,-0.047657694211663056,0.015124293601138004,false,-4.05826659335726E-4,-0.049111783056228195,0.04911345976653905,-1.7603836648479945,1.410784072016804,2.2559393487680404,-1.76078949150733,1.3616722889605757,2.225877592305061,0.0,0.0,0.0,-1.76078949150733,1.3616722889605757,2.225877592305061
1,4,1.7818728104019521,-1.1449615515082918,true,-0.19466630236307508,0.10035446072347469,0.2190113856921863,7.988646869241335,-16.538295192467125,18.36664603771251,7.79398056687826,-16.43794073174365,18.192086976957675,0.0,0.0,0.0,7.79398056687826,-16.43794073174365,18.192086976957675
1,5,-0.5437203535669834,-0.9701389911268481,false,0.08227128651851084,0.11509877092357707,0.14147894420559184,-0.8993848764363968,5.901468654115621,5.969608482260101,-0.8171135899178859,6.016567425039198,6.071800243656843,0.0,0.0,0.0,-0.8171135899178859,6.016567425039198,6.071800243656843
1,6,1.2077078787781788,0.7216188750442722,true,-0.14348201867492558,-0.14270453853466278,0.20236520205169353,7.0303134590840175,9.832255696568005,12.087123703167428,6.886831440409092,9.689551158033343,11.88763428663384,0.0,0.0,0.0,6.886831440409092,9.689551158033343,11.88763428663384
1,7,0.20639283727651098,1.68811242201229,true,-0.008083300270254178,-0.23923947997063721,0.2393759982117673,-3.588338789479165,13.427938985422921,13.899126615162606,-3.596422089749419,13.188699505452284,13.670261390798453,0.0,0.0,0.0,-3.596422089749419,13.188699505452284,13.670261390798453
1,8,0.21504925570457928,-1.8956578317318376,true,-0.0211027716168849,0.20853797626575485,0.20960299261921556,10.074596702106007,-10.996876159070089,14.9140465323134,10.053493930489122,-10.788338182804335,14.746558274964892,0.0,0.0,0.0,10.053493930489122,-10.788338182804335,14.746558274964892
